grupo,metrica,mediana,HL,IC_low,IC_high,cliffs_delta,delta_interpretation,prop_win,range,ic_coverage,n,wins,ties
fog_sev4/ramp_5,downtime,491.9963465941318,491.9963465941318,491.9963465941318,491.9963465941318,1.0,large,1.0,,0.9375,5,5,0
fog_sev4/ramp_5,detection_delay,100.0,nan,nan,nan,nan,,nan,100.0–100.0,,5,,
fog_sev4/ramp_10,downtime,481.99634659413186,481.99634659413186,471.99634659413186,481.99634659413186,1.0,large,1.0,,0.9375,5,5,0
fog_sev4/ramp_10,detection_delay,110.0,nan,nan,nan,nan,,nan,110.0–120.0,,5,,
fog_sev4/ramp_20,downtime,400.00000000000006,405.00000000000006,400.00000000000006,430.00000000000006,1.0,large,1.0,,0.9375,5,5,0
fog_sev4/ramp_20,detection_delay,140.0,nan,nan,nan,nan,,nan,130.0–140.0,,5,,
frosted_glass_blur_sev4/ramp_5,downtime,491.9963465941318,491.9963465941318,491.9963465941318,491.9963465941318,1.0,large,1.0,,0.9375,5,5,0
frosted_glass_blur_sev4/ramp_5,detection_delay,100.0,nan,nan,nan,nan,,nan,100.0–100.0,,5,,
frosted_glass_blur_sev4/ramp_10,downtime,481.9963465941318,481.9963465941318,481.9963465941318,491.9963465941318,1.0,large,1.0,,0.9375,5,5,0
frosted_glass_blur_sev4/ramp_10,detection_delay,110.0,nan,nan,nan,nan,,nan,100.0–110.0,,5,,
frosted_glass_blur_sev4/ramp_20,downtime,451.99634659413186,450.99817329706593,440.00000000000006,460.00000000000006,1.0,large,1.0,,0.9375,5,5,0
frosted_glass_blur_sev4/ramp_20,detection_delay,140.0,nan,nan,nan,nan,,nan,130.0–140.0,,5,,
gaussian_noise_sev3/ramp_5,downtime,471.9963465941318,446.9963465941318,291.9963465941318,481.9963465941318,1.0,large,1.0,,0.9375,5,5,0
gaussian_noise_sev3/ramp_5,detection_delay,120.0,nan,nan,nan,nan,,nan,110.0–300.0,,5,,
gaussian_noise_sev3/ramp_10,downtime,421.9963465941318,421.9963465941318,381.9963465941318,471.99634659413186,0.8,large,0.8,,0.875,5,4,1
gaussian_noise_sev3/ramp_10,detection_delay,150.0,nan,nan,nan,nan,,nan,120.0–210.0 (n=4),,4,,
gaussian_noise_sev3/ramp_20,downtime,371.99634659413186,371.99634659413186,131.99634659413175,411.99634659413186,1.0,large,1.0,,0.9375,5,5,0
gaussian_noise_sev3/ramp_20,detection_delay,220.0,nan,nan,nan,nan,,nan,180.0–460.00000000000006,,5,,
motion_blur_sev1/ramp_5,downtime,491.9963465941318,491.9963465941318,491.9963465941318,501.9963465941318,1.0,large,1.0,,0.9375,5,5,0
motion_blur_sev1/ramp_5,detection_delay,100.0,nan,nan,nan,nan,,nan,90.0–100.0,,5,,
motion_blur_sev1/ramp_10,downtime,481.9963465941318,481.9963465941318,471.9963465941318,481.9963465941318,1.0,large,1.0,,0.9375,5,5,0
motion_blur_sev1/ramp_10,detection_delay,110.0,nan,nan,nan,nan,,nan,110.0–120.0,,5,,
motion_blur_sev1/ramp_20,downtime,451.99634659413186,451.99634659413186,441.99634659413186,461.99634659413186,1.0,large,1.0,,0.9375,5,5,0
motion_blur_sev1/ramp_20,detection_delay,140.0,nan,nan,nan,nan,,nan,130.0–150.0,,5,,
pooled_all_60,downtime,471.99634659413186,461.99634659413186,450.00000000000006,475.99817329706593,0.9833333333333333,large,0.9833333333333333,,0.95,59,59,1
